method,baseline_method,n,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,dir_acc_ci_low,dir_acc_ci_high,paired_mae_delta_vs_baseline,dm_pvalue_vs_baseline
analyst_surprise,linear_ridge,713,0.02671105396871194,0.0318380446361872,0.0410959627508255,0.050858213728676514,0.4934568063567121,0.5665285634498015,1.1447555345327576e-05,0.39830898584240926
full_multimodal,linear_ridge,713,0.026948802727429402,0.031730379432086904,0.0410106411009519,0.050103486516433295,0.508887231551939,0.581788327457907,9.407820106164605e-05,0.2888798255614255
implied_vol_only,linear_ridge,713,0.026220012696278137,0.031229007392470642,0.04087204891694324,0.050814056367378915,0.5032721213756103,0.5762433688330241,-0.00041982606416709865,0.24483858232415082
linear_ridge,linear_ridge,713,0.02653520092743813,0.03233828170787675,0.04095147889476882,0.05124258241927481,0.4864545110954451,0.5595807727095539,,
market_return,linear_ridge,713,0.026253064292231145,0.031580841228307045,0.040779992341569045,0.049892771056411295,0.4934568063567121,0.5665285634498015,-0.0003127716450213879,0.3893284510525912
naive_conformal,linear_ridge,713,0.02671015216518528,0.031662511074601565,0.04070680368513465,0.05076514423729415,0.508887231551939,0.581788327457907,9.407820106164605e-05,0.2888798255614255
ours,linear_ridge,713,0.026872257871652306,0.03180593096276094,0.04075166560178941,0.049983512111022387,0.508887231551939,0.581788327457907,9.407820106164605e-05,0.2888798255614255
ours_explanation_augmented,linear_ridge,713,0.02698129125059888,0.03186669881841756,0.04056340249795079,0.05002903678720385,0.508887231551939,0.581788327457907,9.407820106164605e-05,0.2888798255614255
post_earnings_drift,linear_ridge,713,0.02727031604763907,0.032243393689329346,0.04201996062926943,0.05152236109017004,0.4390290939181942,0.5121456050765042,0.0005671360043344474,0.3942025838097245
sector_return,linear_ridge,713,0.02631068987648126,0.03152231419062931,0.04110300177163873,0.051098792591033164,0.4934568063567121,0.5665285634498015,-0.0003127716450213879,0.3893284510525912
ticker_fixed_effects,linear_ridge,713,0.026802811823849648,0.03175142755607352,0.041857512823450224,0.05090458339229469,0.46688627161792207,0.5400887713828353,2.9180481477210456e-05,0.753016587046943
xgboost_lightgbm_proxy,linear_ridge,713,0.02859284471837692,0.03406912033012197,0.0433582346794389,0.05290531286536028,0.4501582017285495,0.5233366348685726,0.002094509984897822,0.024349846469788678
